Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 12356 (Backtesting [5d]);e5903868;0,6802;4,3481;5,8002;0,5424;0,5846;0,5408;0,7944;1,0575;0,9391
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 156 (Backtesting [5d]);c002c21a;0,574;5,3351;6,694;0,5593;0,6061;0,5575;0,6691;1,0923;0,9018
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 123456 (Backtesting [5d]);8dab9b78;0,7002;4,4672;5,6159;0,4915;0,5161;0,4908;0,8045;0,9505;0,8848
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 56 (Backtesting [5d]);2fa3ea8c;0,4805;6,1092;7,3925;0,5763;0,6154;0,5747;0,5831;1,1201;0,8785
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 1346 (Backtesting [5d]);4a2e52ab;0,4956;5,8016;7,284;0,5424;0,5846;0,5408;0,6019;1,0575;0,8524
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 16 (Backtesting [5d]);62e85420;0,4507;6,2276;7,6016;0,5593;0,5938;0,558;0,5617;1,0852;0,8496
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 12456 (Backtesting [5d]);594dab32;0,5036;5,684;7,2262;0,5424;0,5574;0,542;0,6107;1,0417;0,8478
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 1345 (Backtesting [5d]);18acd4e1;0,5763;5,2984;6,6756;0,5085;0,5397;0,5075;0,6721;0,9866;0,8451
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 25 (Backtesting [5d]);1bf9edcd;0,6093;5,0441;6,4106;0,4915;0,5161;0,4908;0,7055;0,9505;0,8402
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 1456 (Backtesting [5d]);8d1991c9;0,362;6,6963;8,1924;0,5763;0,6032;0,5753;0,4985;1,1131;0,8365
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 234 (Backtesting [5d]);436f2b13;0,5285;5,3829;7,0424;0,5085;0,5538;0,5069;0,6373;0,9948;0,8339
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 156 (Backtesting [5d]);11bea383;0,4583;5,9363;7,5485;0,5424;0,5574;0,542;0,5749;1,0417;0,8317
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 1246 (Backtesting [5d]);0623eb02;0,581;5,4609;6,6389;0,4915;0,5312;0,4902;0,6691;0,9593;0,8287
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 3456 (Backtesting [5d]);0d596e02;0,5796;5,1728;6,6502;0,4915;0,5161;0,4908;0,6793;0,9505;0,8285
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 123 (Backtesting [5d]);e1321b62;0,5282;5,6657;7,0451;0,5085;0,5397;0,5075;0,6269;0,9866;0,8247
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 125 (Backtesting [5d]);ca027ae8;0,548;5,7491;6,895;0,5085;0,5246;0,508;0,6369;0,9778;0,8244
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 125 (Backtesting [5d]);41332685;0,5217;5,9192;7,0932;0,5085;0,5538;0,5069;0,6144;0,9948;0,8236
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 1236 (Backtesting [5d]);9c0a6fd8;0,5121;5,6308;7,1636;0,5085;0,5397;0,5075;0,6179;0,9866;0,8207
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 236 (Backtesting [5d]);b15bf193;0,5572;5,2281;6,8249;0,4915;0,5161;0,4908;0,662;0,9505;0,8207
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (YeoJohnson) (Standard) + 1246 (Backtesting [5d]);466a6981;0,5122;5,8372;7,1633;0,5085;0,5397;0,5075;0,611;0,9866;0,8176
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 2356 (Backtesting [5d]);86f5cf41;0,608;4,958;6,4217;0,4576;0,5152;0,4557;0,7083;0,9051;0,8166
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 126 (Backtesting [5d]);6755dd33;0,5838;5,103;6,6165;0,4746;0,5079;0,4736;0,6851;0,9233;0,8161
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 256 (Backtesting [5d]);56aad712;0,6182;5,1645;6,3373;0,4576;0,5152;0,4557;0,7068;0,9051;0,8159
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 14 (Backtesting [5d]);47e6f782;0,4896;5,8654;7,3274;0,5085;0,5538;0,5069;0,5961;0,9948;0,8154
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 1346 (Backtesting [5d]);43d3759e;0,4896;5,9883;7,3271;0,5085;0,5538;0,5069;0,5923;0,9948;0,8137
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 1235 (Backtesting [5d]);3fa75f1a;0,5557;5,5074;6,836;0,4915;0,5;0,4914;0,6504;0,9411;0,8103
LSTMv3.4 (20,[192],0.05,128,0.00402) (YeoJohnson) (Standard) + 123456 (Backtesting [5d]);7a1d5dd4;0,5104;5,6932;7,1761;0,5085;0,5085;0,5086;0,6147;0,9684;0,8093
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 246 (Backtesting [5d]);106aa117;0,4723;5,7128;7,4504;0,5085;0,5397;0,5075;0,5906;0,9866;0,8084
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 2356 (Backtesting [5d]);97fba161;0,574;5,1029;6,6939;0,4576;0,5294;0,4552;0,6784;0,9134;0,8077
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 12 (Backtesting [5d]);772e19f9;0,4553;6,273;7,5696;0,5254;0,5333;0,5253;0,5632;1,0053;0,8064
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 136 (Backtesting [5d]);12e27bbd;0,4478;6,3065;7,6214;0,5254;0,5333;0,5253;0,5578;1,0053;0,8039
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 36 (Backtesting [5d]);0bfa2ae7;0,4153;6,1625;7,8423;0,5254;0,5484;0,5247;0,5429;1,0141;0,802
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 12356 (Backtesting [5d]);c384adcc;0,6234;4,9005;6,2943;0,4576;0,4483;0,458;0,722;0,8661;0,8013
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 124 (Backtesting [5d]);7ae23892;0,534;5,3233;7,0009;0,4746;0,5079;0,4736;0,6431;0,9233;0,7972
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 23456 (Backtesting [5d]);9263f79b;0,5412;5,4408;6,9469;0,4746;0,4918;0,4741;0,6433;0,9139;0,7921
LSTMv3.4 (25,[128],0.15,64,0.00082) (Log) (Standard) + 1256 (Backtesting [5d]);e7e4b830;0,5859;5,1328;6,6002;0,4576;0,4667;0,4575;0,6853;0,8769;0,7907
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 136 (Backtesting [5d]);b13770ea;0,4264;6,1276;7,7675;0,5085;0,5397;0,5075;0,5504;0,9866;0,7903
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 12346 (Backtesting [5d]);704c0edb;0,3443;6,8629;8,3052;0,5254;0,5882;0,523;0,4847;1,0371;0,7885
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 346 (Backtesting [5d]);028a4beb;0,4563;5,8157;7,5624;0,4915;0,5312;0,4902;0,5776;0,9593;0,7875
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 12456 (Backtesting [5d]);65b41cb1;0,3538;6,5133;8,2449;0,5254;0,5625;0,5241;0,4985;1,0222;0,7866
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 235 (Backtesting [5d]);88be97e1;0,5328;5,394;7,0105;0,4576;0,5152;0,4557;0,6396;0,9051;0,7856
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 1456 (Backtesting [5d]);ce0675e5;0,2732;7,3513;8,7438;0,5593;0,5667;0,5592;0,4357;1,0695;0,7843
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 1245 (Backtesting [5d]);7f96da0e;0,3932;6,6879;7,989;0,5085;0,5672;0,5063;0,5163;1,0025;0,7837
LSTMv3.4 (10,[192, 96],0.25,96,0.00349) (YeoJohnson) (Standard) + 36 (Backtesting [5d]);08edef27;0,0948;8,2875;9,7577;0,6102;0,5965;0,6109;0,3274;1,1542;0,7822
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 1235 (Backtesting [5d]);e2fead93;0,4495;6,3195;7,6098;0,4915;0,5312;0,4902;0,5585;0,9593;0,7789
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 1 (Backtesting [5d]);e97c1a06;0,4101;6,4776;7,8773;0,5085;0,5246;0,508;0,5312;0,9778;0,7769
