Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 234;436f2b13;0,7523;4,1739;5,1049;0,7458;0,7619;0,7448;0,8703;1,4294;1,1778
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 123456;8dab9b78;0,5713;5,4414;6,7152;0,8305;0,8485;0,8287;0,6632;1,5914;1,1737
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 12356;e5903868;0,7132;4,1167;5,4925;0,7458;0,7692;0,7443;0,8369;1,4335;1,165
LSTMv3.4 (25,[128],0.15,64,0.00082) (YeoJohnson) (Standard) + 126;6755dd33;0,7032;4,0171;5,5873;0,7458;0,7619;0,7448;0,8347;1,4294;1,1618
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 234;aa853a56;0,7247;4,4018;5,3814;0,7458;0,7619;0,7448;0,8301;1,4294;1,1597
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 235;88be97e1;0,562;5,7774;6,7875;0,8136;0,8254;0,8126;0,6453;1,5559;1,1461
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 2346;4282c3cb;0,7065;4,8713;5,5566;0,7458;0,7458;0,746;0,7896;1,4204;1,1365
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 236;b15bf193;0,638;5,0559;6,171;0,7627;0,7742;0,7621;0,726;1,459;1,1292
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 2356;86f5cf41;0,634;5,2269;6,2048;0,7627;0,7879;0,7609;0,7159;1,4666;1,1288
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 1246;0623eb02;0,7581;4,1368;5,0442;0,6949;0,7097;0,6943;0,8787;1,3319;1,128
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 23456;9263f79b;0,6857;4,7546;5,7499;0,7288;0,75;0,7276;0,7774;1,4;1,1198
LSTMv3.4 (20,[192],0.05,128,0.00402) (Log) (Standard) + 156;c002c21a;0,7187;4,5056;5,44;0,6949;0,7273;0,6931;0,8188;1,3418;1,1065
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 1235;3fa75f1a;0,4433;6,5417;7,6525;0,8136;0,8197;0,8132;0,5489;1,5528;1,1011
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 236;f2f10584;0,6113;5,399;6,394;0,7119;0,7213;0,7115;0,6926;1,3612;1,0603
LSTMv3.4 (30,[192],0.10,64,0.00041) (Log) (Standard) + 256;56aad712;0,5247;5,5828;7,0708;0,7119;0,7463;0,7098;0,6275;1,3752;1,0387
LSTMv3.4 (30,[192],0.10,64,0.00041) (YeoJohnson) (Standard) + 2346;aed22a86;0,5792;5,5609;6,6531;0,6949;0,7;0,6948;0,6642;1,3264;1,0284
LSTMv3.4 (20,[160, 160],0.30,64,0.00159) (Log) (Standard) + 126;abbd8268;0,5849;5,607;6,6082;0,678;0,7164;0,6759;0,6665;1,313;1,0221
