Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
RFv1.3 (50,None,2,1,sqrt) + 1;e101f12f;0,8075;3,2411;4,4995;0,4407;0,4211;0,4414;1,0088;0,8278;0,9093
RFv1.3 (50,None,2,1,sqrt) + 126;57c75acc;0,8025;3,3055;4,5584;0,4237;0,4516;0,423;0,9958;0,8234;0,9009
RFv1.3 (50,None,2,1,sqrt) + 15;a884c91e;0,8057;3,2226;4,521;0,4068;0,4444;0,4057;1,0084;0,7968;0,892
RFv1.3 (50,None,2,1,sqrt) + 14;6d5e7963;0,8051;3,2444;4,5274;0,4068;0,4444;0,4057;1,0054;0,7968;0,8907
RFv1.3 (50,None,2,1,sqrt) + 136;47b430da;0,8041;3,2424;4,5395;0,4068;0,4262;0,4063;1,0043;0,7862;0,8843
RFv1.3 (50,None,2,1,sqrt) + 156;87fa8b7f;0,8078;3,2201;4,4963;0,3898;0,4194;0,3891;1,0114;0,7598;0,873
RFv1.3 (50,None,2,1,sqrt) + 146;112e3fea;0,8054;3,2496;4,5246;0,3898;0,4194;0,3891;1,0052;0,7598;0,8702
RFv1.3 (50,None,2,1,sqrt) + 12;2af09b0c;0,8029;3,2952;4,5533;0,3898;0,4194;0,3891;0,9974;0,7598;0,8667
RFv1.3 (50,None,2,1,sqrt) + 1345;cea980ec;0,8029;3,2967;4,5533;0,3898;0,4194;0,3891;0,9972;0,7598;0,8666
RFv1.3 (50,None,2,1,sqrt) + 1346;064629a9;0,8009;3,2909;4,5758;0,3898;0,4194;0,3891;0,9953;0,7598;0,8658
RFv1.3 (50,None,2,1,sqrt) + 16;6703b33a;0,8128;3,1852;4,4371;0,3729;0,3934;0,3724;1,0217;0,7223;0,857
RFv1.3 (50,None,2,1,sqrt) + 135;4f7781c6;0,8062;3,2429;4,5145;0,3729;0,3934;0,3724;1,007;0,7223;0,8504
RFv1.3 (50,None,2,1,sqrt) + 134;e3045bce;0,8029;3,2485;4,5534;0,3729;0,3934;0,3724;1,0021;0,7223;0,8482
RFv1.3 (50,None,2,1,sqrt) + 1456;41e53bb3;0,8032;3,2795;4,5494;0,3729;0,3934;0,3724;0,9994;0,7223;0,847
RFv1.3 (50,None,2,1,sqrt) + 13;b23b3121;0,8019;3,2688;4,5649;0,3729;0,3934;0,3724;0,9988;0,7223;0,8467
RFv1.3 (50,None,2,1,sqrt) + 1356;90cc3a09;0,8033;3,2883;4,5482;0,3729;0,3934;0,3724;0,9986;0,7223;0,8466
RFv1.3 (50,20,2,1,None) + 12456;e49a4f13;0,8011;3,2684;4,5738;0,3729;0,3934;0,3724;0,9979;0,7223;0,8463
RFv1.3 (50,None,2,1,sqrt) + 145;090c870d;0,8024;3,2832;4,5592;0,3729;0,3934;0,3724;0,9979;0,7223;0,8463
RFv1.3 (50,20,2,1,None) + 123456;1872c711;0,8012;3,2747;4,5732;0,3729;0,3934;0,3724;0,9973;0,7223;0,846
RFv1.3 (50,20,2,1,None) + 1245;2b5a8a52;0,8006;3,275;4,5802;0,3729;0,3934;0,3724;0,9965;0,7223;0,8457
RFv1.3 (50,20,2,1,None) + 12356;65b36217;0,801;3,2792;4,5757;0,3729;0,3934;0,3724;0,9965;0,7223;0,8457
RFv1.3 (50,20,2,1,None) + 125;76370d5b;0,8006;3,2822;4,58;0,3729;0,3934;0,3724;0,9958;0,7223;0,8454
RFv1.3 (50,None,2,1,sqrt) + 13456;422cbdac;0,8014;3,2943;4,5705;0,3729;0,3934;0,3724;0,9956;0,7223;0,8453
RFv1.3 (50,20,2,1,None) + 1235;6de70237;0,8006;3,285;4,5794;0,3729;0,3934;0,3724;0,9956;0,7223;0,8453
RFv1.3 (50,20,2,1,None) + 1256;cb20f726;0,8005;3,2856;4,5808;0,3729;0,3934;0,3724;0,9954;0,7223;0,8452
