Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
RFv1.3 (50,None,2,1,sqrt) + 14;6d5e7963;0,9465;1,8392;2,3729;0,8136;0,8254;0,8126;1,6273;1,5559;1,588
RFv1.3 (50,None,2,1,sqrt) + 1;e101f12f;0,9457;1,6135;2,3901;0,7288;0,7419;0,7282;1,7057;1,3955;1,5351
RFv1.3 (50,20,2,1,None) + 1245;2b5a8a52;0,9148;2,1829;2,9936;0,8136;0,8197;0,8132;1,3873;1,5528;1,4783
RFv1.3 (50,None,2,1,sqrt) + 146;112e3fea;0,9381;1,9644;2,5525;0,7458;0,7541;0,7454;1,5406;1,425;1,4771
RFv1.3 (50,20,2,1,None) + 123456;1872c711;0,9061;2,3159;3,1426;0,8305;0,8387;0,8299;1,3307;1,5862;1,4712
RFv1.3 (50,20,2,1,None) + 12345;f16ff240;0,9105;2,2518;3,0677;0,8136;0,8254;0,8126;1,3578;1,5559;1,4668
RFv1.3 (50,20,2,1,None) + 1235;6de70237;0,8887;2,4448;3,422;0,8475;0,8571;0,8466;1,259;1,6192;1,4571
RFv1.3 (50,None,2,1,sqrt) + 1456;41e53bb3;0,9162;2,4362;2,9689;0,8136;0,8197;0,8132;1,3398;1,5528;1,457
RFv1.3 (50,20,2,1,None) + 12346;57252aee;0,9157;2,2523;2,9778;0,7966;0,8065;0,796;1,3748;1,5226;1,4561
RFv1.3 (50,None,2,1,sqrt) + 16;6703b33a;0,9432;1,8404;2,445;0,6949;0,7097;0,6943;1,6066;1,3319;1,4555
RFv1.3 (50,None,2,1,sqrt) + 1345;cea980ec;0,9343;2,0557;2,6295;0,7458;0,7458;0,746;1,4968;1,4204;1,4548
RFv1.3 (50,20,2,1,None) + 12456;e49a4f13;0,9182;2,1804;2,9331;0,7797;0,7937;0,7787;1,3997;1,4927;1,4508
RFv1.3 (50,20,2,1,None) + 1234;7b283f36;0,9108;2,2948;3,0638;0,7966;0,8125;0,7954;1,3494;1,5259;1,4465
RFv1.3 (50,20,2,1,None) + 124;278fefb9;0,922;2,1409;2,8647;0,7627;0,7742;0,7621;1,423;1,459;1,4428
RFv1.3 (50,20,2,1,None) + 1236;3cb7f770;0,8814;2,5014;3,5326;0,8305;0,8387;0,8299;1,2319;1,5862;1,4268
RFv1.3 (50,20,2,1,None) + 125;76370d5b;0,8986;2,2429;3,2663;0,7797;0,7869;0,7793;1,3247;1,4889;1,415
RFv1.3 (50,20,2,1,None) + 123;c59b925d;0,8831;2,486;3,5071;0,8136;0,8254;0,8126;1,2384;1,5559;1,4131
RFv1.3 (50,20,2,1,None) + 1246;0ff6cd64;0,9131;2,2411;3,0236;0,7458;0,7458;0,746;1,3684;1,4204;1,397
RFv1.3 (50,None,2,1,sqrt) + 145;090c870d;0,9098;2,6081;3,0807;0,7797;0,7797;0,7799;1,2889;1,4849;1,3967
RFv1.3 (50,None,2,1,sqrt) + 136;47b430da;0,8937;2,6153;3,3433;0,7966;0,8;0,7966;1,2423;1,5191;1,3945
RFv1.3 (50,20,2,1,None) + 12356;65b36217;0,8923;2,428;3,3655;0,7797;0,7937;0,7787;1,2711;1,4927;1,3929
RFv1.3 (50,20,2,1,None) + 1256;cb20f726;0,9005;2,1886;3,2344;0,7288;0,7333;0,7287;1,3422;1,3906;1,3688
RFv1.3 (50,None,2,1,sqrt) + 1346;064629a9;0,892;2,7392;3,3707;0,7797;0,7869;0,7793;1,2189;1,4889;1,3674
RFv1.3 (50,None,2,1,sqrt) + 13456;422cbdac;0,8903;2,7919;3,3965;0,7797;0,7937;0,7787;1,2073;1,4927;1,3642
RFv1.3 (50,None,2,1,sqrt) + 15;a884c91e;0,906;2,35;3,1437;0,7288;0,7419;0,7282;1,3236;1,3955;1,3631
RFv1.3 (50,None,2,1,sqrt) + 126;57c75acc;0,8714;2,9966;3,6779;0,7966;0,8;0,7966;1,1383;1,5191;1,3477
RFv1.3 (50,None,2,1,sqrt) + 134;e3045bce;0,9082;2,3962;3,1076;0,7119;0,7119;0,7121;1,3211;1,3558;1,3402
RFv1.3 (50,None,2,1,sqrt) + 12;2af09b0c;0,8769;2,8584;3,599;0,7627;0,7742;0,7621;1,1673;1,459;1,3278
RFv1.3 (50,None,2,1,sqrt) + 1356;90cc3a09;0,8857;2,7449;3,4678;0,7119;0,7302;0,7109;1,2028;1,3661;1,2927
RFv1.3 (50,None,2,1,sqrt) + 156;87fa8b7f;0,8338;3,3355;4,1816;0,7288;0,7333;0,7287;1,0358;1,3906;1,2309
RFv1.3 (50,None,2,1,sqrt) + 135;4f7781c6;0,8604;3,1139;3,8314;0,6949;0,7;0,6948;1,1034;1,3264;1,2261
RFv1.3 (50,None,2,1,sqrt) + 13;b23b3121;0,7322;4,0395;5,3072;0,7797;0,7869;0,7793;0,8595;1,4889;1,2057
RFv1.3 (50,None,2,1,sqrt) + 23;b903290e;0,6328;5,1374;6,2148;0,8136;0,8254;0,8126;0,7187;1,5559;1,1792
RFv1.3 (50,None,2,1,sqrt) + 2346;a7b47ca5;0,5079;6,2487;7,1947;0,8305;0,8333;0,8305;0,596;1,5833;1,139
RFv1.3 (50,None,2,1,sqrt) + 236;5bda1b80;0,5949;5,4545;6,5281;0,7797;0,7869;0,7793;0,6789;1,4889;1,1244
RFv1.3 (50,None,2,1,sqrt) + 23456;057cbbcb;0,5289;6,0275;7,0394;0,7458;0,7541;0,7454;0,6157;1,425;1,0609
RFv1.3 (50,None,2,1,sqrt) + 24;1ec89800;0,2378;7,9882;8,9538;0,8305;0,8438;0,8293;0,4052;1,5889;1,0562
RFv1.3 (50,None,2,1,sqrt) + 2;093be85b;0,3462;6,9647;8,2931;0,7966;0,8065;0,796;0,4834;1,5226;1,055
RFv1.3 (50,None,2,1,sqrt) + 2356;ba6f55af;0,3456;7,4759;8,2968;0,7966;0,8;0,7966;0,4723;1,5191;1,048
RFv1.3 (50,None,2,1,sqrt) + 234;14003080;0,5669;5,787;6,7495;0,6949;0,7097;0,6943;0,6482;1,3319;1,0242
RFv1.3 (50,None,2,1,sqrt) + 346;ebc79067;0,2755;6,7837;8,7301;0,7797;0,7869;0,7793;0,4494;1,4889;1,0211
RFv1.3 (50,None,2,1,sqrt) + 245;23e7c21f;0,2885;7,7042;8,6512;0,7797;0,8;0,7782;0,437;1,4961;1,0195
RFv1.3 (50,None,2,1,sqrt) + 34;f909937f;0,2591;7,2164;8,8278;0,7797;0,7937;0,7787;0,431;1,4927;1,0149
RFv1.3 (50,None,2,1,sqrt) + 235;2358b19d;0,3272;7,5822;8,4125;0,7627;0,7667;0,7626;0,4602;1,4549;1,0073
RFv1.3 (50,None,2,1,sqrt) + 35;517443aa;0,0751;7,9163;9,8634;0,8136;0,8254;0,8126;0,3239;1,5559;1,0015
RFv1.3 (50,None,2,1,sqrt) + 26;8ab93723;0,3216;7,2558;8,4478;0,7288;0,7419;0,7282;0,4636;1,3955;0,9761
RFv1.3 (50,None,2,1,sqrt) + 25;f3c94f88;-0,1323;9,5682;10,9135;0,8305;0,8387;0,8299;0,1998;1,5862;0,9623
RFv1.3 (50,None,2,1,sqrt) + 2345;44719321;0,1017;8,571;9,7208;0,7627;0,7742;0,7621;0,3265;1,459;0,9494
RFv1.3 (50,None,2,1,sqrt) + 246;de0e2f55;0,1314;8,4816;9,5587;0,7458;0,7541;0,7454;0,3427;1,425;0,938
RFv1.3 (50,None,2,1,sqrt) + 46;44a65514;0,2319;7,6848;8,9884;0,7119;0,7119;0,7121;0,4075;1,3558;0,9291
RFv1.3 (50,None,2,1,sqrt) + 356;0f3da15c;-0,1267;9,0762;10,8865;0,7797;0,7797;0,7799;0,2087;1,4849;0,9106
RFv1.3 (50,None,2,1,sqrt) + 3456;23b468cd;0,1808;7,7458;9,2829;0,661;0,6667;0,6609;0,38;1,2622;0,8652
RFv1.3 (50,None,2,1,sqrt) + 345;666be083;0,2977;7,4055;8,5947;0,6271;0,6452;0,6264;0,4477;1,2048;0,8641
RFv1.3 (50,None,2,1,sqrt) + 4;6b3839fd;0,2717;7,5485;8,7525;0,6271;0,6562;0,6259;0,431;1,2111;0,8601
RFv1.3 (50,None,2,1,sqrt) + 256;3f68d752;-0,3016;10,4264;11,701;0,7458;0,7619;0,7448;0,1114;1,4294;0,8363
RFv1.3 (50,None,2,1,sqrt) + 2456;3c12f020;-0,1472;9,8043;10,985;0,7119;0,7119;0,7121;0,19;1,3558;0,8312
RFv1.3 (50,None,2,1,sqrt) + 456;0fae554e;-0,2863;10,2949;11,632;0,7119;0,7302;0,7109;0,1198;1,3661;0,8053
RFv1.3 (50,None,2,1,sqrt) + 36;5af9f159;-0,3004;9,7411;11,6958;0,6949;0,7097;0,6943;0,1193;1,3319;0,7863
RFv1.3 (50,None,2,1,sqrt) + 45;6848ced6;-0,1235;9,388;10,8711;0,6441;0,6667;0,6431;0,2062;1,2396;0,7746
RFv1.3 (50,None,2,1,sqrt) + 3;d89d1338;-1,3415;12,2935;15,6939;0,6441;0,6769;0,6425;-0,3651;1,2455;0,5207
RFv1.3 (50,None,2,1,sqrt) + 5;729661f2;-1,5128;14,2729;16,2579;0,5763;0,6032;0,5753;-0,4512;1,1131;0,4092
RFv1.3 (50,None,2,1,sqrt) + 6;55cc06b2;-2,0874;15,0728;18,0211;0,6102;0,6102;0,6103;-0,7007;1,1621;0,3239
RFv1.3 (50,None,2,1,sqrt) + 56;dca34e19;-2,7224;17,4909;19,7878;0,5932;0,6;0,5931;-0,9793;1,1338;0,1829
