Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (0, 1, 1)(1, 0, 0, 5) (Log) + 14;fb82284e;0,8055;3,4411;4,5234;0,6102;0,623;0,6098;0,9865;1,1695;1,0872
SARIMAXv2.4 (1, 0, 0)(0, 0, 1, 5) (Log) (MinMax) + 1456;2db9c2d9;0,7977;3,5723;4,613;0,6102;0,623;0,6098;0,9651;1,1695;1,0775
SARIMAXv2.4 (0, 0, 0)(0, 0, 1, 5) (Log) (MinMax) + 145;b3774d36;0,7965;3,605;4,6269;0,6102;0,623;0,6098;0,9608;1,1695;1,0756
SARIMAXv2.4 (0, 0, 3)(0, 0, 0, 5) (Log) (Standard) + 1456;d792a808;0,7933;3,6189;4,6632;0,6102;0,623;0,6098;0,9557;1,1695;1,0733
SARIMAXv2.4 (0, 0, 3)(0, 0, 0, 5) (YeoJohnson) (Standard) + 1456;43f8b51a;0,792;3,6376;4,677;0,6102;0,623;0,6098;0,9527;1,1695;1,072
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (YeoJohnson) (MinMax) + 145;8f3daf2e;0,7911;3,6351;4,6875;0,6102;0,623;0,6098;0,9518;1,1695;1,0715
SARIMAXv2.4 (0, 0, 3)(0, 0, 0, 5) (Log) (Standard) + 156;eabd65b6;0,7904;3,6632;4,6956;0,6102;0,623;0,6098;0,9487;1,1695;1,0701
SARIMAXv2.4 (0, 0, 3)(0, 0, 0, 5) (Log) + 15;87e8b132;0,7903;3,6657;4,6964;0,6102;0,623;0,6098;0,9484;1,1695;1,07
SARIMAXv2.4 (0, 0, 3)(0, 0, 0, 5) (Log) + 156;b9d1cdc7;0,79;3,6673;4,6996;0,6102;0,623;0,6098;0,9479;1,1695;1,0698
SARIMAXv2.4 (0, 0, 3)(0, 0, 0, 5) (Log) (Standard) + 135;d97e98ef;0,7896;3,6729;4,705;0,6102;0,623;0,6098;0,9469;1,1695;1,0693
SARIMAXv2.4 (0, 0, 3)(0, 0, 0, 5) (Log) (Standard) + 1356;a490a5cf;0,7893;3,6744;4,7078;0,6102;0,623;0,6098;0,9464;1,1695;1,0691
SARIMAXv2.4 (3, 1, 3)(0, 0, 0, 5) (Log) + 146;5bfe8040;0,8048;3,4107;4,5313;0,5932;0,6;0,5931;0,9885;1,1338;1,0684
SARIMAXv2.4 (0, 0, 3)(0, 0, 0, 5) (YeoJohnson) + 1356;dc20ef60;0,7877;3,6932;4,7253;0,6102;0,623;0,6098;0,9431;1,1695;1,0676
SARIMAXv2.4 (1, 0, 1)(0, 0, 0, 5) (YeoJohnson) (Standard) + 1356;da649022;0,7873;3,6981;4,7306;0,6102;0,623;0,6098;0,9421;1,1695;1,0672
SARIMAXv2.4 (1, 0, 1)(0, 0, 0, 5) (YeoJohnson) (Standard) + 135;c49084c6;0,7867;3,7044;4,7369;0,6102;0,623;0,6098;0,941;1,1695;1,0667
SARIMAXv2.4 (0, 0, 1)(0, 0, 0, 5) (Log) (MinMax) + 1;48d84da3;0,7828;3,681;4,7798;0,6102;0,6102;0,6103;0,9384;1,1621;1,0614
