Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 12456;94d3f312;0,9919;0,3648;0,9256;0,9831;0,9836;0,9828;5,0599;1,8723;3,3067
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 1245;957f5377;0,9918;0,3657;0,9265;0,9831;0,9836;0,9828;5,0507;1,8723;3,3026
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 1256;9ba30ddd;0,9918;0,3667;0,9282;0,9831;0,9836;0,9828;5,0393;1,8723;3,2974
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 125;33cb308e;0,9918;0,3691;0,9289;0,9831;0,9836;0,9828;5,019;1,8723;3,2883
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 1245;386a0828;0,9915;0,3911;0,946;0,9831;0,9836;0,9828;4,822;1,8723;3,1997
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 12356;c2e750be;0,9916;0,3941;0,9394;0,9831;0,9836;0,9828;4,8123;1,8723;3,1953
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 1235;6e7dccff;0,9916;0,3941;0,9396;0,9831;0,9836;0,9828;4,8114;1,8723;3,1949
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 1256;26b9b12e;0,9913;0,3896;0,9589;0,9831;0,9836;0,9828;4,8112;1,8723;3,1948
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 12345;3c8cd30f;0,9918;0,402;0,9294;0,9831;0,9836;0,9828;4,7744;1,8723;3,1782
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 12;0fcb7666;0,9914;0,3954;0,9509;0,9661;0,9677;0,9655;4,7827;1,8405;3,1644
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 123456;3485dd07;0,9917;0,4068;0,9339;0,9831;0,9836;0,9828;4,7344;1,8723;3,1602
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (Standard) + 123;f358d5c7;0,9917;0,4021;0,9359;0,9661;0,9677;0,9655;4,7626;1,8405;3,1554
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 12345;adfdc98c;0,9917;0,4103;0,9347;0,9831;0,9836;0,9828;4,7106;1,8723;3,1495
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 1236;8c20966d;0,9912;0,402;0,9623;0,9661;0,9677;0,9655;4,7185;1,8405;3,1356
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 123;c47ed3ae;0,991;0,4075;0,9745;0,9661;0,9677;0,9655;4,6619;1,8405;3,1101
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 1236;62e5a060;0,9913;0,423;0,957;0,9831;0,9836;0,9828;4,5916;1,8723;3,096
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 124;97075c0d;0,9915;0,426;0,9451;0,9661;0,9677;0,9655;4,5938;1,8405;3,0795
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 126;5bb27839;0,9913;0,4225;0,9583;0,9661;0,9677;0,9655;4,5925;1,8405;3,0789
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 123;7a9f0864;0,9913;0,4299;0,9585;0,9831;0,9836;0,9828;4,5475;1,8723;3,0761
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (Standard) + 1236;8aeb0c76;0,9915;0,4304;0,9434;0,9661;0,9677;0,9655;4,5703;1,8405;3,0689
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 12346;a618a07f;0,9912;0,4322;0,9616;0,9831;0,9836;0,9828;4,5292;1,8723;3,0679
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) + 1234;4df7854a;0,9912;0,4399;0,9638;0,9831;0,9836;0,9828;4,4809;1,8723;3,0461
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 12346;f3d850f6;0,9911;0,4427;0,9693;0,9831;0,9836;0,9828;4,4562;1,8723;3,035
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 1234;6286e18e;0,991;0,4412;0,9741;0,9661;0,9677;0,9655;4,4568;1,8405;3,0178
SARIMAXv2.4 (3, 0, 0)(0, 0, 0, 5) (Log) (MinMax) + 1246;45a4c89d;0,9911;0,4451;0,9689;0,9661;0,9677;0,9655;4,4435;1,8405;3,0118
SARIMAXv2.4 (2, 0, 0)(0, 0, 0, 5) (Log) (Standard) + 124;7a5df2ba;0,9914;0,4566;0,9538;0,9661;0,9677;0,9655;4,4066;1,8405;2,9952
