Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 123456 (Backtesting [5d]);c7a5ea84;0,2828;6,8477;8,6858;0,678;0,6885;0,6776;0,4518;1,2973;0,9168
Transformerv3.4 (10,128,8,1,0.15,64,0.00019) (Log) (Standard) + 123456 (Backtesting [5d]);38956cfa;0,2857;6,4739;8,6681;0,661;0,6667;0,6609;0,4626;1,2622;0,9024
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 12456 (Backtesting [5d]);de3a25cc;0,3794;6,0811;8,0797;0,5763;0,5902;0,5759;0,5248;1,1056;0,8442
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 12345 (Backtesting [5d]);99336a4f;0,1086;7,4607;9,6834;0,6271;0,6452;0,6264;0,3489;1,2048;0,8196
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 12346 (Backtesting [5d]);f6b434dd;-0,2126;8,6661;11,2941;0,678;0,6885;0,6776;0,174;1,2973;0,7918
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 1256 (Backtesting [5d]);ef50599d;0,1155;7,424;9,6455;0,5932;0,6129;0,5925;0,3531;1,1412;0,7866
Transformerv3.4 (30,128,4,2,0.15,64,0.00053) (YeoJohnson) (Standard) + 1236 (Backtesting [5d]);d19b1d52;0,2273;7,4165;9,0157;0,5763;0,5455;0,5776;0,4102;1,0796;0,7784
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 146 (Backtesting [5d]);279b0a1d;0,206;7,4776;9,1392;0,5593;0,5806;0,5586;0,398;1,0776;0,7718
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 12356 (Backtesting [5d]);aac9f2a9;0,0352;8,7483;10,0742;0,5932;0,625;0,592;0,291;1,1482;0,7625
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (Log) (Standard) + 156 (Backtesting [5d]);dcabbb49;0,1505;8,0059;9,4527;0,5763;0,5614;0,577;0,36;1,0889;0,7609
Transformerv3.4 (30,128,4,2,0.15,64,0.00053) (YeoJohnson) (Standard) + 245 (Backtesting [5d]);e77b04ca;0,0376;9,0246;10,0614;0,5932;0,5556;0,5948;0,2884;1,108;0,7391
Transformerv3.4 (30,128,4,2,0.15,64,0.00053) (YeoJohnson) (Standard) + 236 (Backtesting [5d]);89098021;0,3487;7,1948;8,2773;0,4915;0,5161;0,4908;0,4798;0,9505;0,7387
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 456 (Backtesting [5d]);25960830;-0,1529;8,88;11,0123;0,6102;0,623;0,6098;0,199;1,1695;0,7328
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 12346 (Backtesting [5d]);eac345b9;-0,1224;9,0682;10,8658;0,5932;0,6;0,5931;0,2108;1,1338;0,7184
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 1245 (Backtesting [5d]);5494fedd;-0,115;8,6675;10,8297;0,5593;0,5806;0,5586;0,2199;1,0776;0,6917
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 25 (Backtesting [5d]);22d420ad;-0,1032;8,982;10,7722;0,5424;0,5714;0,5414;0,2211;1,0499;0,6769
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (Log) (Standard) + 1234 (Backtesting [5d]);33f372c8;-0,3762;9,9531;12,0318;0,6102;0,6102;0,6103;0,0822;1,1621;0,6761
Transformerv3.4 (30,128,4,2,0.15,64,0.00053) (YeoJohnson) (Standard) + 12456 (Backtesting [5d]);cfc12d44;0,0097;8,3857;10,2063;0,5254;0,4815;0,527;0,284;0,975;0,6641
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (Log) (Standard) + 123 (Backtesting [5d]);368c8856;0,0347;8,535;10,0768;0,4915;0,5312;0,4902;0,2939;0,9593;0,6599
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 12345 (Backtesting [5d]);2e527d3a;-0,4917;9,7746;12,5265;0,6102;0,623;0,6098;0,0317;1,1695;0,6575
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 1245 (Backtesting [5d]);527774b6;0,0521;8,1526;9,9854;0,4915;0,5;0,4914;0,3085;0,9411;0,6564
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 2456 (Backtesting [5d]);02e3d590;0,1901;7,2605;9,2301;0,4407;0,4762;0,4397;0,3942;0,8601;0,6504
