Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 1245;527774b6;0,5379;5,494;6,9723;0,661;0,6552;0,6615;0,6392;1,2556;0,9782
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 26;8f19d088;0,3123;6,7046;8,5054;0,5763;0,5763;0,5764;0,471;1,0976;0,8156
Transformerv3.4 (15,96,4,2,0.25,96,0.00053) (YeoJohnson) (Standard) + 46;e64ef5ce;0,2395;7,7678;8,9444;0,5932;0,6129;0,5925;0,4099;1,1412;0,8121
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 256;d967c6d4;0,2124;7,2413;9,1018;0,5932;0,6129;0,5925;0,4061;1,1412;0,8104
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 125;a75b68f9;-0,0148;8,819;10,3318;0,661;0,6429;0,6621;0,2657;1,2485;0,8063
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 2456;02e3d590;0,0568;7,9097;9,9606;0,5593;0,6061;0,5575;0,3149;1,0923;0,7425
Transformerv3.4 (10,128,8,1,0.15,64,0.00019) (Log) (Standard) + 123456;38956cfa;0,3621;6,7432;8,1912;0,4746;0,4918;0,4741;0,4975;0,9139;0,7265
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 1246;f3e00633;0,3614;6,5625;8,196;0,4746;0,4746;0,4747;0,5015;0,9039;0,7228
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 2;58cd4f5a;-0,1068;8,8507;10,7897;0,5763;0,6032;0,5753;0,2212;1,1131;0,7118
Transformerv3.4 (10,128,8,1,0.15,64,0.00019) (Log) (Standard) + 14;4dc49cf3;-0,0555;8,8332;10,5367;0,5254;0,6;0,5224;0,2459;1,0438;0,6848
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 12456;de3a25cc;-0,1982;9,6206;11,2266;0,5593;0,6061;0,5575;0,1682;1,0923;0,6765
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 1;8cf7f708;-0,2464;9,8263;11,4503;0,5424;0,5846;0,5408;0,1434;1,0575;0,6461
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 1456;9720c7d2;-0,0043;8,1927;10,2785;0,4746;0,5373;0,4724;0,2803;0,9404;0,6433
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 123456;c7a5ea84;0,2099;7,6289;9,1166;0,4237;0,4333;0,4236;0,3971;0,8127;0,6257
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (Log) (Standard) + 3456;5e943f36;-0,1644;9,7779;11,067;0,5254;0,5;0,5264;0,1823;0,9859;0,6242
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 1;a50da042;-0,016;8,0314;10,3381;0,4915;0,4231;0,4937;0,2773;0,896;0,6176
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 14;056cdb13;-0,4393;10,2174;12,3043;0,5593;0,5667;0,5592;0,0506;1,0695;0,611
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (Log) (Standard) + 256;c940ef61;-0,2645;9,8808;11,533;0,5085;0,5085;0,5086;0,1344;0,9684;0,5931
Transformerv3.4 (10,64,8,2,0.25,96,0.00368) (YeoJohnson) (Standard) + 12;9f4e7552;-0,4394;9,9183;12,3049;0,5254;0,5172;0,5259;0,0538;0,9959;0,572
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (Log) (Standard) + 5;5a878e0d;-0,427;10,3153;12,2517;0,5593;0,4348;0,5632;0,0552;0,9922;0,5706
Transformerv3.4 (15,64,4,2,0.30,128,0.00023) (YeoJohnson) (Standard) + 35;31a3515f;-0,5929;9,6156;12,9446;0,5424;0,5574;0,542;-0,012;1,0417;0,5676
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 2456;675b8dbd;-0,9028;11,5435;14,1476;0,5932;0,6471;0,5908;-0,1684;1,1608;0,5627
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 356;e2ae2013;-0,2879;9,5228;11,6394;0,4746;0,4746;0,4747;0,1277;0,9039;0,5546
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (YeoJohnson) (Standard) + 25;5e6703fb;-1,1788;13,0463;15,1388;0,6441;0,6557;0,6437;-0,2998;1,2334;0,5434
Transformerv3.4 (30,128,4,2,0.15,64,0.00053) (YeoJohnson) (Standard) + 236;89098021;-0,4621;8,9172;12,4017;0,4915;0,5;0,4914;0,0559;0,9411;0,5427
Transformerv3.4 (30,128,4,2,0.15,64,0.00053) (YeoJohnson) (Standard) + 245;e77b04ca;-0,8663;11,9548;14,0111;0,5932;0,5556;0,5948;-0,1556;1,108;0,5394
Transformerv3.4 (25,128,8,1,0.15,96,0.00013) (YeoJohnson) (Standard) + 246;e0cb02b0;-0,896;10,63;14,1222;0,5763;0,5902;0,5759;-0,1572;1,1056;0,5373
Transformerv3.4 (25,128,8,1,0.15,96,0.00013) (YeoJohnson) (Standard) + 1246;71649512;-0,7263;11,5489;13,4756;0,5424;0,5574;0,542;-0,0905;1,0417;0,5322
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 1256;ef50599d;-0,8005;11,254;13,7622;0,5424;0,597;0,5402;-0,1209;1,0646;0,5311
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (Log) (Standard) + 126;32c69f6f;-0,5639;11,3008;12,826;0,5085;0,5246;0,508;-0,016;0,9778;0,5306
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 456;25960830;-0,3503;10,1519;11,9178;0,4576;0,4839;0,4569;0,0919;0,8869;0,5292
Transformerv3.4 (10,128,4,1,0.15,128,0.00075) (Log) (Standard) + 12356;aac9f2a9;-0,8963;12,3156;14,1233;0,5763;0,5763;0,5764;-0,1715;1,0976;0,5265
Transformerv3.4 (30,64,4,2,0.20,128,0.00448) (YeoJohnson) (Standard) + 23456;2f1d1ff4;-0,3656;9,8081;11,9851;0,4407;0,4923;0,4391;0,0887;0,8695;0,5181
Transformerv3.4 (10,128,4,1,0.10,128,0.00475) (YeoJohnson) (Standard) + 56;75dc1104;-0,3872;10,5258;12,0798;0,4407;0,4762;0,4397;0,0711;0,8601;0,5051
Transformerv3.4 (20,96,8,1,0.10,96,0.00069) (YeoJohnson) (Standard) + 15;4dca6fa7;-0,7796;11,6607;13,6819;0,5254;0,5;0,5264;-0,115;0,9859;0,4905
