Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
XGBoostv1.3 (200,6,0.2,0.8,1.0,0,1) + 1;7f884093;0,8073;3,2303;4,5022;0,5085;0,5085;0,5086;1,0097;0,9684;0,987
XGBoostv1.3 (200,6,0.2,0.8,1.0,0,1) + 13;49974682;0,8123;3,1541;4,4439;0,4576;0,4839;0,4569;1,0243;0,8869;0,9488
XGBoostv1.3 (200,6,0.2,0.8,1.0,0,1) + 16;e489fdd4;0,8212;3,0695;4,3362;0,4237;0,4516;0,423;1,0461;0,8234;0,9236
XGBoostv1.3 (200,6,0.2,0.8,1.0,0,1) + 136;d5ec7406;0,8126;3,1941;4,4402;0,4237;0,4333;0,4236;1,0204;0,8127;0,9061
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 1356;f4893482;0,8035;3,2573;4,5462;0,4237;0,4516;0,423;1,002;0,8234;0,9038
XGBoostv1.3 (200,6,0.2,0.8,1.0,0,1) + 146;ae75f544;0,8079;3,2138;4,4957;0,4237;0,4333;0,4236;1,0121;0,8127;0,9024
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 15;15ac27b2;0,8067;3,1975;4,5091;0,4237;0,4138;0,4241;1,0124;0,8012;0,8962
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 145;2.7732e+28;0,802;3,2872;4,5636;0,4068;0,4262;0,4063;0,9971;0,7862;0,8811
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 135;1e202001;0,8071;3,2517;4,5051;0,4068;0,4068;0,4069;1,0071;0,7747;0,8793
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 1345;d9605c5c;0,8032;3,2782;4,5504;0,4068;0,4068;0,4069;0,9994;0,7747;0,8758
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 34;a848991f;0,8005;3,2918;4,5815;0,3898;0,4194;0,3891;0,9946;0,7598;0,8655
XGBoostv1.3 (200,6,0.2,0.8,1.0,0.1,1) + 346;304be9ab;0,8006;3,2939;4,5799;0,3898;0,4194;0,3891;0,9946;0,7598;0,8655
XGBoostv1.3 (200,6,0.2,1.0,0.8,0.1,1) + 13456;08faeed1;0,8;3,3065;4,5873;0,3898;0,4194;0,3891;0,9925;0,7598;0,8645
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 4;47e7ce5f;0,7967;3,3092;4,624;0,3898;0,4194;0,3891;0,9883;0,7598;0,8626
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 1246;7f488c2c;0,8014;3,2726;4,5707;0,3898;0,4;0,3897;0,9978;0,7484;0,8606
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 1456;bb330d11;0,801;3,2682;4,5749;0,3898;0,4;0,3897;0,9978;0,7484;0,8606
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 3;6be7e65c;0,8018;3,28;4,5663;0,3898;0,4;0,3897;0,9975;0,7484;0,8605
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 1245;30af7343;0,801;3,2831;4,5747;0,3898;0,4;0,3897;0,9963;0,7484;0,86
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 12456;a8cce9a3;0,7985;3,3179;4,6041;0,3898;0,4;0,3897;0,9896;0,7484;0,857
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 123456;f0f86775;0,7986;3,3244;4,6024;0,3898;0,4;0,3897;0,9891;0,7484;0,8567
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 125;7e21080a;0,798;3,3322;4,6094;0,3898;0,4;0,3897;0,9876;0,7484;0,8561
XGBoostv1.3 (200,6,0.2,0.8,1.0,0,1) + 14;a5ea7f15;0,8089;3,2284;4,4835;0,3729;0,3934;0,3724;1,0119;0,7223;0,8526
XGBoostv1.3 (200,6,0.2,0.8,1.0,0.1,1) + 1346;1796cc06;0,8039;3,2463;4,5419;0,3729;0,3934;0,3724;1,0036;0,7223;0,8489
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 124;f63ff321;0,8033;3,2496;4,5492;0,3729;0,3934;0,3724;1,0025;0,7223;0,8484
XGBoostv1.3 (200,6,0.2,0.8,1.0,0,1) + 46;82f22041;0,8018;3,2753;4,5661;0,3729;0,3934;0,3724;0,998;0,7223;0,8464
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 1256;718e9036;0,802;3,2964;4,564;0,3729;0,3934;0,3724;0,9961;0,7223;0,8455
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 245;cd88b191;0,8013;3,2874;4,5723;0,3729;0,3934;0,3724;0,9961;0,7223;0,8455
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 23456;fc4431d2;0,8012;3,2898;4,5728;0,3729;0,3934;0,3724;0,9958;0,7223;0,8454
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 35;1fc525cf;0,8011;3,2865;4,5745;0,3729;0,3934;0,3724;0,996;0,7223;0,8454
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 2345;63d8b345;0,8012;3,2899;4,5728;0,3729;0,3934;0,3724;0,9958;0,7223;0,8454
XGBoostv1.3 (200,6,0.2,1.0,0.8,0,1) + 236;e405702b;0,8012;3,2882;4,5732;0,3729;0,3934;0,3724;0,9959;0,7223;0,8454
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 2456;9ce7f70b;0,8011;3,2903;4,5742;0,3729;0,3934;0,3724;0,9956;0,7223;0,8453
XGBoostv1.3 (200,6,0.2,1.0,0.8,0,1) + 2346;9807c6f9;0,8011;3,292;4,5735;0,3729;0,3934;0,3724;0,9955;0,7223;0,8452
XGBoostv1.3 (200,6,0.2,0.8,1.0,0.1,1) + 356;c62fbe14;0,801;3,291;4,5754;0,3729;0,3934;0,3724;0,9954;0,7223;0,8452
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 24;b8b4a2d1;0,801;3,2933;4,5756;0,3729;0,3934;0,3724;0,9951;0,7223;0,8451
XGBoostv1.3 (200,6,0.2,0.8,1.0,0,1) + 56;1f8361ac;0,8012;3,295;4,5732;0,3729;0,3934;0,3724;0,9952;0,7223;0,8451
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 3456;12798484;0,8007;3,29;4,5781;0,3729;0,3934;0,3724;0,9952;0,7223;0,8451
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 246;90101c9a;0,8008;3,2907;4,577;0,3729;0,3934;0,3724;0,9953;0,7223;0,8451
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 23;eae73bfd;0,8009;3,2915;4,5767;0,3729;0,3934;0,3724;0,9952;0,7223;0,8451
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 2356;2aaa5442;0,8008;3,2943;4,5772;0,3729;0,3934;0,3724;0,9949;0,7223;0,8449
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 256;358575f9;0,8007;3,294;4,5787;0,3729;0,3934;0,3724;0,9947;0,7223;0,8449
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 234;92112c7e;0,8009;3,2955;4,5761;0,3729;0,3934;0,3724;0,9949;0,7223;0,8449
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 12345;2f72bad3;0,8001;3,2889;4,586;0,3729;0,3934;0,3724;0,9945;0,7223;0,8448
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 25;02a5a83f;0,8007;3,2952;4,5789;0,3729;0,3934;0,3724;0,9946;0,7223;0,8448
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 36;13c199c6;0,8008;3,2954;4,5781;0,3729;0,3934;0,3724;0,9947;0,7223;0,8448
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 26;dd3b7a86;0,8005;3,2962;4,5809;0,3729;0,3934;0,3724;0,9943;0,7223;0,8447
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 235;60fd3dd0;0,8007;3,297;4,5787;0,3729;0,3934;0,3724;0,9944;0,7223;0,8447
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 345;c73daee3;0,8004;3,2943;4,5818;0,3729;0,3934;0,3724;0,9944;0,7223;0,8447
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 2;c44aee29;0,8005;3,2969;4,5811;0,3729;0,3934;0,3724;0,9942;0,7223;0,8446
XGBoostv1.3 (200,6,0.2,0.8,0.9,0,1) + 5;304b14f2;0,8008;3,301;4,5775;0,3729;0,3934;0,3724;0,9942;0,7223;0,8446
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 123;3a1d2a74;0,8004;3,3005;4,5821;0,3729;0,3934;0,3724;0,9937;0,7223;0,8444
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 156;84e42046;0,8064;3,2302;4,5126;0,3729;0,3729;0,373;1,0085;0,7102;0,8444
XGBoostv1.3 (200,6,0.2,0.8,1.0,0,1) + 456;c5e39f37;0,8002;3,3003;4,5843;0,3729;0,3934;0,3724;0,9935;0,7223;0,8443
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 1236;2eceb996;0,8007;3,3076;4,5783;0,3729;0,3934;0,3724;0,9934;0,7223;0,8443
