Configuración del modelo;Hash;R²;MAE;RMSE;Acc.;F1;ROC-AUC;IRB Regr.;IRB Clas.;IRB Total
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 1256;718e9036;0,9562;1,4871;2,1459;0,9831;0,9836;0,9828;1,8404;1,8723;1,8579
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 12;c7c072d3;0,9597;1,4633;2,0586;0,9322;0,9333;0,9322;1,8839;1,776;1,8245
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 125;7e21080a;0,9568;1,5202;2,1312;0,9322;0,9333;0,9322;1,8295;1,776;1,8
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 126;4f80ea6f;0,9495;1,5825;2,3056;0,9153;0,918;0,9149;1,744;1,7445;1,7443
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 123;3a1d2a74;0,9452;1,7575;2,401;0,9492;0,9492;0,9494;1,6469;1,8077;1,7354
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 1235;b8da2d21;0,9516;1,6755;2,2561;0,9153;0,918;0,9149;1,7209;1,7445;1,7339
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 12356;d40325b8;0,9489;1,7077;2,3178;0,9153;0,918;0,9149;1,6895;1,7445;1,7197
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 1236;2eceb996;0,944;1,6527;2,4262;0,8814;0,8852;0,881;1,6794;1,6806;1,6801
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 1246;7f488c2c;0,924;2,0946;2,8283;0,9322;0,9333;0,9322;1,4419;1,776;1,6256
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 12346;105b4278;0,9151;2,2182;2,9888;0,9322;0,9333;0,9322;1,3802;1,776;1,5979
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 123456;f0f86775;0,9245;2,0659;2,8179;0,8983;0,9;0,8983;1,4514;1,7117;1,5946
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 1234;eeaa2978;0,928;2,1408;2,7529;0,8983;0,9032;0,8977;1,447;1,7133;1,5935
XGBoostv1.3 (200,6,0.2,1.0,0.8,0.1,1) + 13456;08faeed1;0,9262;1,943;2,7864;0,8475;0,8525;0,8471;1,4918;1,6167;1,5605
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 124;f63ff321;0,9193;2,0109;2,9132;0,8644;0,8667;0,8644;1,4461;1,6475;1,5569
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 12345;2f72bad3;0,9209;2,1943;2,885;0,8814;0,8814;0,8816;1,4063;1,6786;1,5561
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 1245;30af7343;0,9155;2,2104;2,9806;0,8644;0,8621;0,8649;1,3835;1,6451;1,5274
XGBoostv1.3 (200,6,0.2,1.0,0.9,0,1) + 156;84e42046;0,9323;1,9097;2,6691;0,7966;0,8065;0,796;1,5282;1,5226;1,5251
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 145;2.7732e+28;0,9344;1,9499;2,6261;0,7966;0,7931;0,7971;1,5266;1,5153;1,5204
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 12456;a8cce9a3;0,9144;2,2556;3,0002;0,8475;0,8475;0,8477;1,3698;1,6141;1,5041
XGBoostv1.3 (200,6,0.2,1.0,1.0,0,1) + 15;15ac27b2;0,9271;1,9635;2,7699;0,7966;0,7931;0,7971;1,4895;1,5153;1,5037
XGBoostv1.3 (200,6,0.2,0.8,1.0,0,1) + 14;a5ea7f15;0,9238;2,0758;2,8316;0,7966;0,8;0,7966;1,446;1,5191;1,4862
XGBoostv1.3 (200,6,0.2,1.0,0.9,0.1,1) + 1356;f4893482;0,9026;2,1046;3,2015;0,8305;0,8276;0,831;1,3679;1,5802;1,4847
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 1456;bb330d11;0,9141;2,1952;3,0059;0,8136;0,807;0,8144;1,3821;1,5459;1,4722
XGBoostv1.3 (200,6,0.2,1.0,1.0,0.1,1) + 135;1e202001;0,8864;2,3813;3,4568;0,8475;0,8525;0,8471;1,2655;1,6167;1,4587
